pop,pop_dens,error,price,predicted_price
2369,484.4580777096,42722.20320188154,121407,78684.79679811846
420217,4778.9946548391,398890.6108334268,85446,484336.6108334268
32,33.6842105263,61104.22785990502,130865,69760.77214009498
966,455.6603773585,70919.28089885745,150021,79101.71910114255
1473,154.8895899054,43588.1248047542,115285,71696.8751952458
2067,313.1818181818,27306.021994025432,102330,75023.97800597457
398,222.3463687151,183552.49498900518,257677,74124.50501099482
725,122.8813559322,52053.00431797169,123520,71466.99568202831
315,58.1180811808,29527.537635906963,40637,70164.53763590696
577,82.3109843081,39644.15128738579,110218,70573.84871261421
1588,806.0913705584,29529.205867401644,55060,84589.20586740164
106,1.4097619364,89555.93100764157,158898,69342.06899235843
4085,672.981878089,54960.11905407978,135509,80548.88094592022
22621,8378.1481481482,39826.91699684426,83698,43871.08300315574
577,198.2817869416,48535.314345640116,121884,73348.68565435988
6460,718.5761957731,113532.97005586968,193412,79879.02994413032
1188,303.8363171356,71554.59284700618,146706,75151.40715299382
1233,86.4656381487,30831.184910567594,39585,70416.1849105676
11887,1828.7692307692,54651.744683836165,149109,94457.25531616384
10432,4139.6825396825,41585.59815843124,64965,106550.59815843124
2577,583.0316742081,185270.40378949384,265088,79817.59621050615
1805,138.3141762452,32461.68709307327,38685,71146.68709307327
2286,530.3944315545,94531.96880719253,173519,78987.03119280747
4668,1065.7534246575,74268.7436598458,161425,87156.2563401542
594,306.1855670103,38085.54124915958,113706,75620.45875084042
4966,1338.5444743935,30853.523920037638,60402,91255.52392003764
2520,734.693877551,60721.764278178816,143432,82710.23572182118
2116,304.4604316547,41876.87377021805,116385,74508.12622978195
382,429.2134831461,57801.827052216,136080,78278.172947784
1169,398.976109215,35608.11118650081,112734,77125.88881349919
541,110.183299389,97880.49520847204,169335,71454.50479152796
1024,258.5858585859,57328.93420989702,131644,74315.06579010298
1669,318.5114503817,37597.36145945078,112716,75118.63854054922
891,80.7065217391,25819.113136125583,44722,70541.11313612558
725,104.3165467626,46579.9837361535,117769,71189.0162638465
55602,2623.9735724398,26136.66754017127,61000,87136.66754017127
7851,4758.1818181818,44043.513007624104,59719,103762.5130076241
955,324.8299319728,41664.7033407757,117418,75753.2966592243
3806,1951.7948717949,28984.958851665273,70640,99624.95885166527
209,17.1733771569,25958.029158912046,43664,69622.02915891205
8784,477.1319934818,47464.621339693695,120973,73508.3786603063
10348,1223.1678486998,39549.15470913457,126012,86462.84529086543
622,232.9588014981,33952.442347261735,108011,74058.55765273827
6092,2079.180887372,114349.0888236102,214285,99935.9111763898
5598,1529.5081967213,176455.89587075103,270089,93633.10412924897
2686,695.8549222798,33468.957896817185,115355,81886.04210318282
11306,2691.9047619048,27624.515681209305,75545,103169.5156812093
382,149.8039215686,58743.42036621524,131184,72440.57963378476
3968,2088.4210526316,25591.360784980818,75354,100945.36078498082
2675,4533.8983050848,39673.1478339849,65766,105439.1478339849
361,78.3080260304,32549.09627268421,103430,70880.90372731579
3175,525.6622516556,32206.281003350872,110502,78295.71899664913
3380,775.2293577982,25408.708496377236,108311,82902.29150362276
17772,2981.8791946309,39288.41607349322,63730,103018.41607349322
4517,1998.6725663717,29850.190153080417,69949,99799.19015308042
2277,455.4,25143.627907710645,102647,77503.37209228936
13300,452.8430371127,36269.09940808924,106172,69902.90059191076
12504,3020.2898550725,50810.16578508337,155574,104763.83421491663
24617,990.6237424547,31386.436930437165,105271,73884.56306956284
4403,1761.2,28059.220283368908,69136,97195.22028336891
173,180.2083333333,109210.77747739214,182463,73252.22252260786
